#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Nov 26 16:33:51 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       SB_N2BCONV_map.ncd
#OUTPUT FILE:      SB_N2BCONV_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -4
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P65,,DIFFS,IO_L27N_5/VREF_5,UNUSED,,5,,,,,,,,,
P66,,,GND,,,,,,,,,,,,
P67,,DIFFM,IO_L28P_5/D7,UNUSED,,5,,,,,,,,,
P68,,DIFFS,IO_L28N_5/D6,UNUSED,,5,,,,,,,,,
P69,,,VCCAUX,,,,,,,,2.5,,,,
P70,,,VCCINT,,,,,,,,1.2,,,,
P71,,IOB,IO,UNUSED,,5,,,,,,,,,
P72,bcd<4>,IOB,IO_L31P_5/D5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P73,,,VCCO_5,,,5,,,,,2.50,,,,
P74,bcd<13>,IOB,IO_L31N_5/D4,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P75,,,GND,,,,,,,,,,,,
P76,bcd<6>,IOB,IO_L32P_5/GCLK2,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P77,bcd<5>,IOB,IO_L32N_5/GCLK3,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P78,exp<6>,IOB,IO/VREF_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P79,clk,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P80,bcd<3>,IOB,IO_L32N_4/GCLK1,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P81,bcd<7>,IOB,IO_L31P_4/DOUT/BUSY,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P82,,,GND,,,,,,,,,,,,
P83,bcd<1>,IOB,IO_L31N_4/INIT_B,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P84,,,VCCO_4,,,4,,,,,2.50,,,,
P85,bcd<15>,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P86,bcd<14>,IOB,IO_L30P_4/D3,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P87,bcd<2>,IOB,IO_L30N_4/D2,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P88,,,VCCINT,,,,,,,,1.2,,,,
P89,,,VCCAUX,,,,,,,,2.5,,,,
P90,bcd<18>,IOB,IO_L27P_4/D1,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P91,,,GND,,,,,,,,,,,,
P92,bcd<8>,IOB,IO_L27N_4/DIN/D0,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P93,bcd<9>,IOB,IO,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P94,,DIFFM,IO_L25P_4,UNUSED,,4,,,,,,,,,
P95,bcd<16>,IOB,IO_L25N_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P96,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
P97,,DIFFS,IO,UNUSED,,4,,,,,,,,,
P98,,,VCCO_4,,,4,,,,,2.50,,,,
P99,,,GND,,,,,,,,,,,,
P100,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,,,
P101,,DIFFS,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,,,
P102,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
P103,,,DONE,,,,,,,,,,,,
P104,,,CCLK,,,,,,,,,,,,
P105,,,GND,,,,,,,,,,,,
P106,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,,,
P107,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,
P108,,DIFFM,IO_L17P_3/VREF_3,UNUSED,,3,,,,,,,,,
P109,,DIFFS,IO_L17N_3,UNUSED,,3,,,,,,,,,
P110,,,VCCO_3,,,3,,,,,2.50,,,,
P111,,DIFFM,IO_L19P_3,UNUSED,,3,,,,,,,,,
P112,,,GND,,,,,,,,,,,,
P113,,DIFFS,IO_L19N_3,UNUSED,,3,,,,,,,,,
P114,,DIFFM,IO_L20P_3,UNUSED,,3,,,,,,,,,
P115,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,
P116,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,
P117,bcd<11>,IOB,IO_L21N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P118,,,GND,,,,,,,,,,,,
P119,instate<0>,IOB,IO_L22P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P120,bcd<12>,IOB,IO_L22N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P121,,,VCCAUX,,,,,,,,2.5,,,,
P122,bcd<10>,IOB,IO_L23P_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P123,bcd<17>,IOB,IO_L23N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P124,rstn,IOB,IO_L24P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P125,bcd<21>,IOB,IO_L24N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P126,bcd<23>,IOB,IO_L39P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P127,,,VCCO_3,,,3,,,,,2.50,,,,
P128,bcd<22>,IOB,IO_L39N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P129,,,GND,,,,,,,,,,,,
P130,bcd<26>,IOB,IO_L40P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P131,bcd<19>,IOB,IO_L40N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P132,bcd<0>,IOB,IO_L40P_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P133,bcd<25>,IOB,IO_L40N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P134,,,GND,,,,,,,,,,,,
P135,bcd<24>,IOB,IO_L39P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P136,,,VCCO_2,,,2,,,,,2.50,,,,
P137,bcd<27>,IOB,IO_L39N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P138,bcd<20>,IOB,IO_L24P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P139,instate<1>,IOB,IO_L24N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P140,,DIFFM,IO_L23P_2,UNUSED,,2,,,,,,,,,
P141,,DIFFS,IO_L23N_2/VREF_2,UNUSED,,2,,,,,,,,,
P142,,,VCCAUX,,,,,,,,2.5,,,,
P143,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,
P144,,DIFFS,IO_L22N_2,UNUSED,,2,,,,,,,,,
P145,,,GND,,,,,,,,,,,,
P146,,DIFFM,IO_L21P_2,UNUSED,,2,,,,,,,,,
P147,,DIFFS,IO_L21N_2,UNUSED,,2,,,,,,,,,
P148,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,
P149,data<24>,IOB,IO_L20N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P150,,DIFFM,IO_L19P_2,UNUSED,,2,,,,,,,,,
P151,,,GND,,,,,,,,,,,,
P152,,DIFFS,IO_L19N_2,UNUSED,,2,,,,,,,,,
P153,,,VCCO_2,,,2,,,,,2.50,,,,
P154,,DIFFM,IO/VREF_2,UNUSED,,2,,,,,,,,,
P155,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,
P156,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,
P157,,,GND,,,,,,,,,,,,
P158,,,TDO,,,,,,,,,,,,
P159,,,TCK,,,,,,,,,,,,
P160,,,TMS,,,,,,,,,,,,
P161,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,
P162,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,
P163,,,GND,,,,,,,,,,,,
P164,,,VCCO_1,,,1,,,,,2.50,,,,
P165,data<2>,IOB,IO_L10P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P166,data<3>,IOB,IO_L10N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P167,data<4>,IOB,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P168,data<5>,IOB,IO_L27P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P169,data<1>,IOB,IO_L27N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P170,,,GND,,,,,,,,,,,,
P171,data<22>,IOB,IO_L28P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P172,data<6>,IOB,IO_L28N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P173,,,VCCAUX,,,,,,,,2.5,,,,
P174,,,VCCINT,,,,,,,,1.2,,,,
P175,data<0>,IOB,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P176,data<9>,IOB,IO_L31P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P177,,,VCCO_1,,,1,,,,,2.50,,,,
P178,data<11>,IOB,IO_L31N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P179,,,GND,,,,,,,,,,,,
P180,data<12>,IOB,IO_L32P_1/GCLK4,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P181,data<13>,IOB,IO_L32N_1/GCLK5,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P182,data<14>,IOB,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P183,data<15>,IOB,IO_L32P_0/GCLK6,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P184,data<16>,IOB,IO_L32N_0/GCLK7,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P185,data<25>,IOB,IO_L31P_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P186,,,GND,,,,,,,,,,,,
P187,data<18>,IOB,IO_L31N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P188,,,VCCO_0,,,0,,,,,2.50,,,,
P189,data<19>,IOB,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P190,data<26>,IOB,IO_L30P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P191,data<21>,IOB,IO_L30N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P192,,,VCCINT,,,,,,,,1.2,,,,
P193,,,VCCAUX,,,,,,,,2.5,,,,
P194,data<23>,IOB,IO_L27P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P195,,,GND,,,,,,,,,,,,
P196,data<7>,IOB,IO_L27N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P197,data<17>,IOB,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P198,data<8>,IOB,IO_L25P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P199,data<20>,IOB,IO_L25N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P200,data<10>,IOB,IO/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P201,,,VCCO_0,,,0,,,,,2.50,,,,
P202,,,GND,,,,,,,,,,,,
P203,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,
P204,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,
P205,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
P206,,,HSWAP_EN,,,,,,,,,,,,
P207,,,PROG_B,,,,,,,,,,,,
P208,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
